,  Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DATA BY REGION, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Friday 31 March 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ECONOMY AND INDUSTRY, Local Government Area (a), 2011-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NUMBER OF BUSINESSES,,,,,BUSINESS ENTRIES,,,,,BUSINESS EXITS,,,,,NUMBER OF BUSINESSES BY INDUSTRY,,,,,,,,,,,,,,,,,,,,,BUILDING APPROVALS,,,,,,,,,,RESIDENTIAL PROPERTY PRICES,,,,BANKRUPTS,,,EMPLOYED BY INDUSTRY,,,,,,,,,,,,,,,,,,,,REGISTERED MOTOR VEHICLES - Number by type of vehicle,,,,,,,,,,REGISTERED MOTOR VEHICLES - Number by type of fuel,,,,REGISTERED MOTOR VEHICLES - Year of manufacture,,
,,,Number of non-employing businesses,1-4 employees,5-19 employees,20 or more employees,Total number of businesses,Number of non-employing business entries ,1-4 employees,5-19 employees,20 or more employees,Total number of business entries,Number of non-employing business exits,1-4 employees,5-19 employees,20 or more employees,Total number of business exits ,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale trade,Retail trade,Accommodation & Food Services,"Transport, Postal and Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring, & Real Estate Services",Professional Scientific & Technical Services,Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Currently unknown,Total,Private sector houses,Private sector dwellings excluding houses,Total private sector dwelling units,Total dwelling units,Value of private sector houses,Value of private sector dwellings excluding houses,Value of total private sectors dwelling units,Value of total residential building,Value of total non residential building,Value of total building,Houses - number of transfers,Houses - median sale price,Attached Dwellings,Attached Dwellings - median sale price,Bankrupts with a non-business related bankruptcy or not stated,Bankrupts with a business related bankruptcy,Total bankrupts,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal and Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring, & Real Estate Services",Professional Scientific & Technical Services,Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other services,Total employed,Passenger vehicles,Campervans,Light commercial vehicles,Light rigid trucks,Heavy rigid trucks,Articulated trucks,Non-freight carrying trucks,Buses,Motorcycles,Total Vehicles,Petrol,Diesel,LPG/Dual/Other,Electric,Less than 5 years,5 to 10 years,Over 10 years
CODE,LABEL,YEAR,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,$m,$m,$m,$m,$m,$m,no.,$,no.,$,no.,no.,no.,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. ,no. 
10050,Albury (C),2011,2546,1142,492,141,4321,-,-,-,-,-,-,-,-,-,-,211,4,203,63,772,145,340,196,243,17,355,556,418,142,20,41,272,50,232,41,4321,165,93,258,258,58,19,77,77,87,164,-,-,-,-,-,-,-,1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,22435,24339,83,5125,167,482,228,16,151,1625,32216,26082,4732,1400,-,-,-,-
10050,Albury (C),2012,2515,1157,539,137,4348,328,161,33,5,527,410,89,19,5,523,214,3,203,46,759,148,346,208,259,18,351,543,416,138,17,46,291,48,245,49,4348,193,31,224,224,68,11,79,80,47,127,-,-,-,-,69,14,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24533,85,5238,171,483,237,17,152,1608,32524,25979,5216,1328,-,-,-,-
10050,Albury (C),2013,2497,1128,512,137,4274,320,129,17,3,469,394,112,34,5,545,211,3,197,74,720,144,332,194,264,18,353,548,390,129,17,45,289,46,240,61,4275,217,21,238,238,76,4,79,79,48,126,684,285000,-,-,47,11,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25057,102,5403,187,492,209,16,150,1583,33199,26145,5746,1281,3,7005,9667,16528
10050,Albury (C),2014,2538,1114,517,138,4307,411,144,29,-,584,366,106,32,7,511,215,3,187,146,697,143,304,203,246,17,357,545,397,137,20,44,303,42,241,61,4308,335,56,391,398,105,19,124,126,89,215,797,285000,-,-,57,16,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25221,110,5622,188,512,207,14,162,1635,33671,25976,6398,1233,3,7569,9329,16772
10050,Albury (C),2015,2574,1191,515,134,4414,313,158,20,3,494,292,86,29,4,411,220,4,178,146,742,146,301,204,255,16,375,552,397,139,20,44,320,40,256,59,4414,395,85,480,480,129,17,146,146,42,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25991,117,5988,198,554,231,18,170,1677,34944,26448,7261,1186,-,7891,9465,17571
10050,Albury (C),2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,472,76,548,548,144,14,158,158,37,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26333,115,6328,203,574,219,21,170,1741,35704,26578,7975,1107,-,8443,9307,17933
10110,Armidale Dumaresq (A),2011,1388,606,298,44,2336,-,-,-,-,-,-,-,-,-,-,513,7,53,3,315,70,165,104,84,9,129,268,222,60,6,32,145,35,88,28,2336,61,25,86,104,24,5,29,33,15,48,-,-,-,-,-,-,-,6.2,0.4,2.8,0.8,5.8,2.3,12.4,8.7,2.1,1,2.8,1.1,6,2.3,5.3,20.7,13,1.1,3.6,10377,11957,37,3353,107,362,46,11,105,840,16818,13510,3085,225,-,-,-,-
10110,Armidale Dumaresq (A),2012,1440,558,297,48,2343,160,52,11,-,223,147,51,15,3,216,516,9,51,4,311,65,165,104,89,7,131,260,228,65,5,34,141,32,92,34,2343,31,5,36,38,15,1,16,17,13,29,-,-,-,-,13,4,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12027,36,3412,112,385,47,11,104,875,17009,13499,3293,218,-,-,-,-
