MB_CODE_2011,LGA_CODE_2013,LGA_NAME_2013,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQKM
70000722000,70200,Alice Springs (T),7,Northern Territory,0.0810
70000731000,70200,Alice Springs (T),7,Northern Territory,3.9728
70000732000,70200,Alice Springs (T),7,Northern Territory,2.6522
70000740000,70200,Alice Springs (T),7,Northern Territory,0.1424
70000750000,70200,Alice Springs (T),7,Northern Territory,7.9781
70000760000,70200,Alice Springs (T),7,Northern Territory,0.0554
70000770000,70200,Alice Springs (T),7,Northern Territory,0.0268
70000781000,70200,Alice Springs (T),7,Northern Territory,1.1047
70000782000,70200,Alice Springs (T),7,Northern Territory,0.1685
70000783000,70200,Alice Springs (T),7,Northern Territory,0.0223
70000790000,70200,Alice Springs (T),7,Northern Territory,0.0528
70000800000,70200,Alice Springs (T),7,Northern Territory,0.8327
70000810000,70200,Alice Springs (T),7,Northern Territory,0.0698
70000820000,70200,Alice Springs (T),7,Northern Territory,0.0461
70000830000,70200,Alice Springs (T),7,Northern Territory,0.0594
70000840000,70200,Alice Springs (T),7,Northern Territory,0.0614
70000850000,70200,Alice Springs (T),7,Northern Territory,0.2042
70000860000,70200,Alice Springs (T),7,Northern Territory,0.0211
70000870000,70200,Alice Springs (T),7,Northern Territory,0.0718
70000880000,70200,Alice Springs (T),7,Northern Territory,0.0189
70000890000,70200,Alice Springs (T),7,Northern Territory,0.0695
70000900000,70200,Alice Springs (T),7,Northern Territory,0.0760
70000910000,70200,Alice Springs (T),7,Northern Territory,0.0785
70000920000,70200,Alice Springs (T),7,Northern Territory,0.1078
70000930000,70200,Alice Springs (T),7,Northern Territory,0.0619
70000940000,70200,Alice Springs (T),7,Northern Territory,0.1180
70000950000,70200,Alice Springs (T),7,Northern Territory,0.0376
70000960000,70200,Alice Springs (T),7,Northern Territory,0.0538
70000970000,70200,Alice Springs (T),7,Northern Territory,0.0606
70000980000,70200,Alice Springs (T),7,Northern Territory,0.0368
70000990000,70200,Alice Springs (T),7,Northern Territory,0.0402
70001000000,70200,Alice Springs (T),7,Northern Territory,0.0518
70001010000,70200,Alice Springs (T),7,Northern Territory,0.0559
70001020000,70200,Alice Springs (T),7,Northern Territory,0.0584
70001030000,70200,Alice Springs (T),7,Northern Territory,0.0605
70001040000,70200,Alice Springs (T),7,Northern Territory,0.0701
70001050000,70200,Alice Springs (T),7,Northern Territory,0.0609
70001060000,70200,Alice Springs (T),7,Northern Territory,0.0702
70001070000,70200,Alice Springs (T),7,Northern Territory,0.0740
70001080000,70200,Alice Springs (T),7,Northern Territory,0.0241
70001090000,70200,Alice Springs (T),7,Northern Territory,0.9657
70001100000,70200,Alice Springs (T),7,Northern Territory,0.0399
70001110000,70200,Alice Springs (T),7,Northern Territory,0.0328
70001120000,70200,Alice Springs (T),7,Northern Territory,0.0342
70001130000,70200,Alice Springs (T),7,Northern Territory,0.0350
70001140000,70200,Alice Springs (T),7,Northern Territory,0.0369
70001150000,70200,Alice Springs (T),7,Northern Territory,0.0341
70001160000,70200,Alice Springs (T),7,Northern Territory,0.0402
70001170000,70200,Alice Springs (T),7,Northern Territory,0.0433
70001180000,70200,Alice Springs (T),7,Northern Territory,0.0444
70001190000,70200,Alice Springs (T),7,Northern Territory,0.0512
70001200000,70200,Alice Springs (T),7,Northern Territory,0.0597
70001210000,70200,Alice Springs (T),7,Northern Territory,0.0668
70001220000,70200,Alice Springs (T),7,Northern Territory,0.0786
70001230000,70200,Alice Springs (T),7,Northern Territory,0.0645
70001240000,70200,Alice Springs (T),7,Northern Territory,0.0645
70001250000,70200,Alice Springs (T),7,Northern Territory,0.0869
70001260000,70200,Alice Springs (T),7,Northern Territory,0.0059
70001270000,70200,Alice Springs (T),7,Northern Territory,0.0254
70001280000,70200,Alice Springs (T),7,Northern Territory,0.0630
70001290000,70200,Alice Springs (T),7,Northern Territory,0.0309
70001300000,70200,Alice Springs (T),7,Northern Territory,0.1033
70001310000,70200,Alice Springs (T),7,Northern Territory,0.0331
70001320000,70200,Alice Springs (T),7,Northern Territory,0.0321
70001330000,70200,Alice Springs (T),7,Northern Territory,0.0333
70001340000,70200,Alice Springs (T),7,Northern Territory,0.0332
70001350000,70200,Alice Springs (T),7,Northern Territory,0.0336
70001360000,70200,Alice Springs (T),7,Northern Territory,0.0361
70001370000,70200,Alice Springs (T),7,Northern Territory,0.0349
70001380000,70200,Alice Springs (T),7,Northern Territory,0.0366
70001390000,70200,Alice Springs (T),7,Northern Territory,0.0317
70001400000,70200,Alice Springs (T),7,Northern Territory,0.0458
70001410000,70200,Alice Springs (T),7,Northern Territory,0.0502
70001420000,70200,Alice Springs (T),7,Northern Territory,0.0503
70001430000,70200,Alice Springs (T),7,Northern Territory,0.0435
70001440000,70200,Alice Springs (T),7,Northern Territory,0.0450
70001450000,70200,Alice Springs (T),7,Northern Territory,0.0444
70001460000,70200,Alice Springs (T),7,Northern Territory,0.0454
70001470000,70200,Alice Springs (T),7,Northern Territory,0.0371
70001480000,70200,Alice Springs (T),7,Northern Territory,0.0451
70001490000,70200,Alice Springs (T),7,Northern Territory,0.0489
70001500000,70200,Alice Springs (T),7,Northern Territory,0.0673
70001520000,70200,Alice Springs (T),7,Northern Territory,0.0319
70001530000,70200,Alice Springs (T),7,Northern Territory,0.0544
70001540000,70200,Alice Springs (T),7,Northern Territory,0.0058
70001550000,70200,Alice Springs (T),7,Northern Territory,0.0287
70001560000,70200,Alice Springs (T),7,Northern Territory,0.0216
70001570000,70200,Alice Springs (T),7,Northern Territory,0.0216
70001580000,70200,Alice Springs (T),7,Northern Territory,0.0266
70001590000,70200,Alice Springs (T),7,Northern Territory,0.0273
70001600000,70200,Alice Springs (T),7,Northern Territory,0.0241
70001610000,70200,Alice Springs (T),7,Northern Territory,0.0296
70001620000,70200,Alice Springs (T),7,Northern Territory,0.0331
70001630000,70200,Alice Springs (T),7,Northern Territory,0.0320
70001640000,70200,Alice Springs (T),7,Northern Territory,0.0389
70001650000,70200,Alice Springs (T),7,Northern Territory,0.0410
70001670000,70200,Alice Springs (T),7,Northern Territory,0.0099
70001680000,70200,Alice Springs (T),7,Northern Territory,0.0182
70001690000,70200,Alice Springs (T),7,Northern Territory,0.0194
70001700000,70200,Alice Springs (T),7,Northern Territory,0.0524
70001710000,70200,Alice Springs (T),7,Northern Territory,0.0376
70001720000,70200,Alice Springs (T),7,Northern Territory,0.0371
70001730000,70200,Alice Springs (T),7,Northern Territory,0.0135
70001740000,70200,Alice Springs (T),7,Northern Territory,0.0150
70001751000,70200,Alice Springs (T),7,Northern Territory,0.6806
70001752000,70200,Alice Springs (T),7,Northern Territory,1.2292
70001753000,70200,Alice Springs (T),7,Northern Territory,0.2859
70001760000,70200,Alice Springs (T),7,Northern Territory,0.4402
70001770000,70200,Alice Springs (T),7,Northern Territory,0.0499
70001780000,70200,Alice Springs (T),7,Northern Territory,17.2864
70001790000,70200,Alice Springs (T),7,Northern Territory,0.0227
70001800000,70200,Alice Springs (T),7,Northern Territory,0.0363
70001810000,70200,Alice Springs (T),7,Northern Territory,0.4801
70001820000,70200,Alice Springs (T),7,Northern Territory,0.0290
70001830000,70200,Alice Springs (T),7,Northern Territory,0.0588
70001840000,70200,Alice Springs (T),7,Northern Territory,0.0296
70001850000,70200,Alice Springs (T),7,Northern Territory,0.2495
70001860000,70200,Alice Springs (T),7,Northern Territory,0.0291
70001870000,70200,Alice Springs (T),7,Northern Territory,0.0147
70001880000,70200,Alice Springs (T),7,Northern Territory,0.0292
70001890000,70200,Alice Springs (T),7,Northern Territory,0.0304
