MB_CODE_2011,LGA_CODE_2013,LGA_NAME_2013,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQKM
30002170000,30250,Aurukun (S),3,Queensland,0.8889
30002162000,30250,Aurukun (S),3,Queensland,30.5494
30002160000,30250,Aurukun (S),3,Queensland,7186.6694
30002110000,30250,Aurukun (S),3,Queensland,0.8201
30002100000,30250,Aurukun (S),3,Queensland,39.9087
30002080000,30250,Aurukun (S),3,Queensland,43.8363
30002070000,30250,Aurukun (S),3,Queensland,11.7562
30002050000,30250,Aurukun (S),3,Queensland,26.3760
30001970000,30250,Aurukun (S),3,Queensland,5.8868
30001960000,30250,Aurukun (S),3,Queensland,0.5158
30002532000,30300,Balonne (S),3,Queensland,0.0158
30002531000,30300,Balonne (S),3,Queensland,0.0227
30002520000,30300,Balonne (S),3,Queensland,0.0775
30002510000,30300,Balonne (S),3,Queensland,0.0267
30003230000,30300,Balonne (S),3,Queensland,0.1842
30003210000,30300,Balonne (S),3,Queensland,0.0406
30003200000,30300,Balonne (S),3,Queensland,0.0530
30003193000,30300,Balonne (S),3,Queensland,2.2814
30003192000,30300,Balonne (S),3,Queensland,0.5414
30003191000,30300,Balonne (S),3,Queensland,1.4057
30003180000,30300,Balonne (S),3,Queensland,0.1860
30003163000,30300,Balonne (S),3,Queensland,1.5590
30003162000,30300,Balonne (S),3,Queensland,1.4375
30003161000,30300,Balonne (S),3,Queensland,15.4419
30002500000,30300,Balonne (S),3,Queensland,0.0484
30002480000,30300,Balonne (S),3,Queensland,0.0541
30002470000,30300,Balonne (S),3,Queensland,0.0187
30625400000,30300,Balonne (S),3,Queensland,164.2913
30003220000,30300,Balonne (S),3,Queensland,0.0843
30002690000,30300,Balonne (S),3,Queensland,0.3744
30002680000,30300,Balonne (S),3,Queensland,0.6251
30002670000,30300,Balonne (S),3,Queensland,0.1595
30002660000,30300,Balonne (S),3,Queensland,0.1361
30002650000,30300,Balonne (S),3,Queensland,0.2321
30002640000,30300,Balonne (S),3,Queensland,0.1772
30002630000,30300,Balonne (S),3,Queensland,0.0454
30002620000,30300,Balonne (S),3,Queensland,0.0509
30002610000,30300,Balonne (S),3,Queensland,0.0510
30002600000,30300,Balonne (S),3,Queensland,0.0742
30003150000,30300,Balonne (S),3,Queensland,0.3123
30003140000,30300,Balonne (S),3,Queensland,0.1104
30003130000,30300,Balonne (S),3,Queensland,0.0733
30003120000,30300,Balonne (S),3,Queensland,0.1912
30003110000,30300,Balonne (S),3,Queensland,0.0563
30003100000,30300,Balonne (S),3,Queensland,0.8410
30003090000,30300,Balonne (S),3,Queensland,0.3752
30003080000,30300,Balonne (S),3,Queensland,0.3511
30003070000,30300,Balonne (S),3,Queensland,0.1122
30003060000,30300,Balonne (S),3,Queensland,2.4378
30003050000,30300,Balonne (S),3,Queensland,379.1031
30002460000,30300,Balonne (S),3,Queensland,0.0239
30002450000,30300,Balonne (S),3,Queensland,0.5315
30002440000,30300,Balonne (S),3,Queensland,0.2659
30002430000,30300,Balonne (S),3,Queensland,0.0154
30002420000,30300,Balonne (S),3,Queensland,0.0367
30002410000,30300,Balonne (S),3,Queensland,34.5613
30002340000,30300,Balonne (S),3,Queensland,0.0637
30002330000,30300,Balonne (S),3,Queensland,0.1123
30002320000,30300,Balonne (S),3,Queensland,0.0648
30002310000,30300,Balonne (S),3,Queensland,0.0818
30002300000,30300,Balonne (S),3,Queensland,0.0543
30002290000,30300,Balonne (S),3,Queensland,0.0522
30002280000,30300,Balonne (S),3,Queensland,0.0541
30002270000,30300,Balonne (S),3,Queensland,0.0517
30002490000,30300,Balonne (S),3,Queensland,0.5560
30002590000,30300,Balonne (S),3,Queensland,0.1036
30002580000,30300,Balonne (S),3,Queensland,0.1031
30002570000,30300,Balonne (S),3,Queensland,0.0520
30002560000,30300,Balonne (S),3,Queensland,0.1251
30002550000,30300,Balonne (S),3,Queensland,0.1426
30002543000,30300,Balonne (S),3,Queensland,0.0538
30002542000,30300,Balonne (S),3,Queensland,0.0377
30002541000,30300,Balonne (S),3,Queensland,0.0685
30002533000,30300,Balonne (S),3,Queensland,0.0520
30003040000,30300,Balonne (S),3,Queensland,1319.0711
30003030000,30300,Balonne (S),3,Queensland,1.4858
30003022000,30300,Balonne (S),3,Queensland,4.7591
30003021000,30300,Balonne (S),3,Queensland,2239.4528
30003010000,30300,Balonne (S),3,Queensland,0.1432
30003002000,30300,Balonne (S),3,Queensland,1868.7552
30003001000,30300,Balonne (S),3,Queensland,2592.4983
30002990000,30300,Balonne (S),3,Queensland,1919.2524
30003170000,30300,Balonne (S),3,Queensland,103.3989
30002980000,30300,Balonne (S),3,Queensland,5926.2009
30002970000,30300,Balonne (S),3,Queensland,109.5002
30002960000,30300,Balonne (S),3,Queensland,1516.0838
30002950000,30300,Balonne (S),3,Queensland,1192.9678
30002940000,30300,Balonne (S),3,Queensland,1181.0133
30002930000,30300,Balonne (S),3,Queensland,1380.4575
30002920000,30300,Balonne (S),3,Queensland,281.7316
30002910000,30300,Balonne (S),3,Queensland,49.7027
30002900000,30300,Balonne (S),3,Queensland,4040.7407
30002890000,30300,Balonne (S),3,Queensland,1959.8979
30002880000,30300,Balonne (S),3,Queensland,740.2100
30002870000,30300,Balonne (S),3,Queensland,1345.6959
30002860000,30300,Balonne (S),3,Queensland,7.8761
30002840000,30300,Balonne (S),3,Queensland,711.1796
30002820000,30300,Balonne (S),3,Queensland,0.2522
30002810000,30300,Balonne (S),3,Queensland,0.9331
30002800000,30300,Balonne (S),3,Queensland,0.0660
30002790000,30300,Balonne (S),3,Queensland,0.0674
30002780000,30300,Balonne (S),3,Queensland,0.2063
30002770000,30300,Balonne (S),3,Queensland,0.1016
30002760000,30300,Balonne (S),3,Queensland,0.0805
30002750000,30300,Balonne (S),3,Queensland,0.0897
30002740000,30300,Balonne (S),3,Queensland,0.4233
30002730000,30300,Balonne (S),3,Queensland,0.4804
30002720000,30300,Balonne (S),3,Queensland,0.0567
30002710000,30300,Balonne (S),3,Queensland,0.1214
30002700000,30300,Balonne (S),3,Queensland,0.3057
30611960000,30370,Banana (S),3,Queensland,0.0309
30611970000,30370,Banana (S),3,Queensland,0.0979
30611980000,30370,Banana (S),3,Queensland,19.6627
30005662000,30370,Banana (S),3,Queensland,0.0232
30005670000,30370,Banana (S),3,Queensland,0.0668
30005680000,30370,Banana (S),3,Queensland,0.0427
30005690000,30370,Banana (S),3,Queensland,0.0239
30005701000,30370,Banana (S),3,Queensland,0.1470
30005702000,30370,Banana (S),3,Queensland,0.0670
30005710000,30370,Banana (S),3,Queensland,0.1908
30005721000,30370,Banana (S),3,Queensland,0.0545
30005722000,30370,Banana (S),3,Queensland,0.0698
30005730000,30370,Banana (S),3,Queensland,0.0757
30005741000,30370,Banana (S),3,Queensland,1.2563
30005742000,30370,Banana (S),3,Queensland,1.4797
30005751000,30370,Banana (S),3,Queensland,0.1156
30005752000,30370,Banana (S),3,Queensland,0.1639
30005760000,30370,Banana (S),3,Queensland,1.4141
30005771000,30370,Banana (S),3,Queensland,230.7876
30005772000,30370,Banana (S),3,Queensland,113.8565
30611920000,30370,Banana (S),3,Queensland,0.0675
30611930000,30370,Banana (S),3,Queensland,0.0405
30611940000,30370,Banana (S),3,Queensland,0.1486
30611990000,30370,Banana (S),3,Queensland,54.6252
30612000000,30370,Banana (S),3,Queensland,42.0772
30612010000,30370,Banana (S),3,Queensland,0.0100
30622280000,30370,Banana (S),3,Queensland,0.2168
30517550000,30370,Banana (S),3,Queensland,0.0912
30517540000,30370,Banana (S),3,Queensland,0.2999
30517530000,30370,Banana (S),3,Queensland,0.0353
30517480000,30370,Banana (S),3,Queensland,15.5821
30517470000,30370,Banana (S),3,Queensland,5.3790
30517460000,30370,Banana (S),3,Queensland,0.0792
30517452000,30370,Banana (S),3,Queensland,0.7542
30517451000,30370,Banana (S),3,Queensland,0.8505
30517440000,30370,Banana (S),3,Queensland,0.2877
30517430000,30370,Banana (S),3,Queensland,0.0525
30517420000,30370,Banana (S),3,Queensland,86.5248
30517400000,30370,Banana (S),3,Queensland,0.0205
30517390000,30370,Banana (S),3,Queensland,0.0177
30517240000,30370,Banana (S),3,Queensland,21.9548
30517220000,30370,Banana (S),3,Queensland,0.1808
30517210000,30370,Banana (S),3,Queensland,0.0067
30517190000,30370,Banana (S),3,Queensland,0.0179
30517180000,30370,Banana (S),3,Queensland,0.1156
30517170000,30370,Banana (S),3,Queensland,1.1311
30517120000,30370,Banana (S),3,Queensland,7.0965
30517110000,30370,Banana (S),3,Queensland,12.8460
30517100000,30370,Banana (S),3,Queensland,14.2624
30517090000,30370,Banana (S),3,Queensland,7.8369
30517080000,30370,Banana (S),3,Queensland,15.3725
30518002000,30370,Banana (S),3,Queensland,464.9278
30518001000,30370,Banana (S),3,Queensland,558.4054
30517990000,30370,Banana (S),3,Queensland,251.3756
30517982000,30370,Banana (S),3,Queensland,473.1445
30517981000,30370,Banana (S),3,Queensland,147.4580
30517970000,30370,Banana (S),3,Queensland,459.0944
30517963000,30370,Banana (S),3,Queensland,202.0841
30517962000,30370,Banana (S),3,Queensland,97.5566
30517961000,30370,Banana (S),3,Queensland,2585.3477
30517930000,30370,Banana (S),3,Queensland,160.5563
30517923000,30370,Banana (S),3,Queensland,96.2698
30517922000,30370,Banana (S),3,Queensland,234.0634
30517921000,30370,Banana (S),3,Queensland,740.2670
30517913000,30370,Banana (S),3,Queensland,227.8824
30517912000,30370,Banana (S),3,Queensland,119.1924
30517911000,30370,Banana (S),3,Queensland,597.9990
30517902000,30370,Banana (S),3,Queensland,351.2164
30517890000,30370,Banana (S),3,Queensland,248.5006
30517882000,30370,Banana (S),3,Queensland,116.3629
30517881000,30370,Banana (S),3,Queensland,385.4502
30517870000,30370,Banana (S),3,Queensland,42.5558
30517863000,30370,Banana (S),3,Queensland,182.9289
30517862000,30370,Banana (S),3,Queensland,327.2855
30517861000,30370,Banana (S),3,Queensland,809.9724
30517852000,30370,Banana (S),3,Queensland,815.6744
30517842000,30370,Banana (S),3,Queensland,0.7369
30517841000,30370,Banana (S),3,Queensland,21.2076
30517830000,30370,Banana (S),3,Queensland,55.9692
30517794000,30370,Banana (S),3,Queensland,227.5551
30517793000,30370,Banana (S),3,Queensland,173.6625
30517792000,30370,Banana (S),3,Queensland,345.2064
30517791000,30370,Banana (S),3,Queensland,607.0236
30517780000,30370,Banana (S),3,Queensland,1.3101
30517770000,30370,Banana (S),3,Queensland,0.6245
30517760000,30370,Banana (S),3,Queensland,0.1028
30517730000,30370,Banana (S),3,Queensland,105.5791
30517720000,30370,Banana (S),3,Queensland,94.1918
30517662000,30370,Banana (S),3,Queensland,214.0323
30517661000,30370,Banana (S),3,Queensland,93.5330
30517652000,30370,Banana (S),3,Queensland,0.0696
30517651000,30370,Banana (S),3,Queensland,0.0803
30517640000,30370,Banana (S),3,Queensland,0.0786
30517620000,30370,Banana (S),3,Queensland,0.1038
30517602000,30370,Banana (S),3,Queensland,0.0280
30517601000,30370,Banana (S),3,Queensland,0.0949
30517592000,30370,Banana (S),3,Queensland,0.2134
30517591000,30370,Banana (S),3,Queensland,0.1944
30517582000,30370,Banana (S),3,Queensland,0.0257
30517581000,30370,Banana (S),3,Queensland,0.0886
30003290000,30370,Banana (S),3,Queensland,0.0397
30003300000,30370,Banana (S),3,Queensland,0.0145
30003320000,30370,Banana (S),3,Queensland,0.0079
30003330000,30370,Banana (S),3,Queensland,0.0220
