MB_CODE_2011,LGA_CODE_2013,LGA_NAME_2013,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQKM
40000240000,40070,Adelaide (C),4,South Australia,0.0048
40000251000,40070,Adelaide (C),4,South Australia,0.0121
40000252000,40070,Adelaide (C),4,South Australia,0.0072
40000253000,40070,Adelaide (C),4,South Australia,0.0036
40000261000,40070,Adelaide (C),4,South Australia,0.0031
40000262000,40070,Adelaide (C),4,South Australia,0.0027
40000270000,40070,Adelaide (C),4,South Australia,0.0429
40000280000,40070,Adelaide (C),4,South Australia,0.0232
40000290000,40070,Adelaide (C),4,South Australia,0.0101
40000300000,40070,Adelaide (C),4,South Australia,0.0160
40000311000,40070,Adelaide (C),4,South Australia,0.0051
40000312000,40070,Adelaide (C),4,South Australia,0.0053
40000320000,40070,Adelaide (C),4,South Australia,0.0070
40000330000,40070,Adelaide (C),4,South Australia,0.0382
40000340000,40070,Adelaide (C),4,South Australia,0.0348
40000350000,40070,Adelaide (C),4,South Australia,0.0150
40000360000,40070,Adelaide (C),4,South Australia,0.0174
40000370000,40070,Adelaide (C),4,South Australia,0.0136
40000380000,40070,Adelaide (C),4,South Australia,0.0185
40000390000,40070,Adelaide (C),4,South Australia,0.0192
40000411000,40070,Adelaide (C),4,South Australia,0.0110
40000412000,40070,Adelaide (C),4,South Australia,0.0097
40000420000,40070,Adelaide (C),4,South Australia,0.3504
40000450000,40070,Adelaide (C),4,South Australia,0.0477
40000460000,40070,Adelaide (C),4,South Australia,0.0406
40000490000,40070,Adelaide (C),4,South Australia,0.0296
40000500000,40070,Adelaide (C),4,South Australia,0.0296
40000510000,40070,Adelaide (C),4,South Australia,0.0064
40000520000,40070,Adelaide (C),4,South Australia,0.4264
40000530000,40070,Adelaide (C),4,South Australia,0.0022
40000550000,40070,Adelaide (C),4,South Australia,0.2602
40000560000,40070,Adelaide (C),4,South Australia,0.3398
40000570000,40070,Adelaide (C),4,South Australia,0.0079
40000591000,40070,Adelaide (C),4,South Australia,0.0082
40000592000,40070,Adelaide (C),4,South Australia,0.0120
40000600000,40070,Adelaide (C),4,South Australia,0.1902
40000611000,40070,Adelaide (C),4,South Australia,0.0092
40000612000,40070,Adelaide (C),4,South Australia,0.0043
40000614000,40070,Adelaide (C),4,South Australia,0.0089
40000615000,40070,Adelaide (C),4,South Australia,0.0100
40000620000,40070,Adelaide (C),4,South Australia,0.0149
40000630000,40070,Adelaide (C),4,South Australia,0.0076
40000640000,40070,Adelaide (C),4,South Australia,0.0128
40000651000,40070,Adelaide (C),4,South Australia,0.0093
40000652000,40070,Adelaide (C),4,South Australia,0.0064
40000660000,40070,Adelaide (C),4,South Australia,0.0182
40000671000,40070,Adelaide (C),4,South Australia,0.0214
40000672000,40070,Adelaide (C),4,South Australia,0.0059
40000673000,40070,Adelaide (C),4,South Australia,0.0140
40000674000,40070,Adelaide (C),4,South Australia,0.0088
40000681000,40070,Adelaide (C),4,South Australia,0.0048
40000682000,40070,Adelaide (C),4,South Australia,0.0038
40000683000,40070,Adelaide (C),4,South Australia,0.0089
40000684000,40070,Adelaide (C),4,South Australia,0.0073
40000700000,40070,Adelaide (C),4,South Australia,0.0152
40000721000,40070,Adelaide (C),4,South Australia,0.0143
40000722000,40070,Adelaide (C),4,South Australia,0.0111
40000723000,40070,Adelaide (C),4,South Australia,0.0027
40000740000,40070,Adelaide (C),4,South Australia,0.0492
40000760000,40070,Adelaide (C),4,South Australia,0.0100
40000770000,40070,Adelaide (C),4,South Australia,0.0052
40000780000,40070,Adelaide (C),4,South Australia,0.0045
40000790000,40070,Adelaide (C),4,South Australia,0.0104
40000800000,40070,Adelaide (C),4,South Australia,0.0043
40000820000,40070,Adelaide (C),4,South Australia,0.0395
40000830000,40070,Adelaide (C),4,South Australia,0.0138
40000840000,40070,Adelaide (C),4,South Australia,0.0179
40000850000,40070,Adelaide (C),4,South Australia,0.0052
40000861000,40070,Adelaide (C),4,South Australia,0.0437
40000862000,40070,Adelaide (C),4,South Australia,0.0124
40000870000,40070,Adelaide (C),4,South Australia,0.0103
40000891000,40070,Adelaide (C),4,South Australia,0.0123
40000892000,40070,Adelaide (C),4,South Australia,0.0036
40000900000,40070,Adelaide (C),4,South Australia,0.0123
40000910000,40070,Adelaide (C),4,South Australia,0.0185
40000921000,40070,Adelaide (C),4,South Australia,0.0090
40000922000,40070,Adelaide (C),4,South Australia,0.0016
40000930000,40070,Adelaide (C),4,South Australia,0.0041
40000940000,40070,Adelaide (C),4,South Australia,0.0091
40000950000,40070,Adelaide (C),4,South Australia,0.0099
40000960000,40070,Adelaide (C),4,South Australia,0.0070
40000981000,40070,Adelaide (C),4,South Australia,0.0294
40000982000,40070,Adelaide (C),4,South Australia,0.0073
40000991000,40070,Adelaide (C),4,South Australia,0.0238
40000992000,40070,Adelaide (C),4,South Australia,0.0115
40001000000,40070,Adelaide (C),4,South Australia,0.0188
40001010000,40070,Adelaide (C),4,South Australia,0.0215
40001020000,40070,Adelaide (C),4,South Australia,0.0198
40001031000,40070,Adelaide (C),4,South Australia,0.0089
40001032000,40070,Adelaide (C),4,South Australia,0.0033
