MB_CODE_2011,LGA_CODE_2013,LGA_NAME_2013,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQKM
60000060000,60210,Break O'Day (M),6,Tasmania,0.0001
60000760000,60210,Break O'Day (M),6,Tasmania,0.0790
60000770000,60210,Break O'Day (M),6,Tasmania,0.0436
60000780000,60210,Break O'Day (M),6,Tasmania,0.0565
60000790000,60210,Break O'Day (M),6,Tasmania,0.2080
60000800000,60210,Break O'Day (M),6,Tasmania,0.3010
60000810000,60210,Break O'Day (M),6,Tasmania,0.1686
60000820000,60210,Break O'Day (M),6,Tasmania,0.0686
60000830000,60210,Break O'Day (M),6,Tasmania,0.0649
60000840000,60210,Break O'Day (M),6,Tasmania,0.0239
60000850000,60210,Break O'Day (M),6,Tasmania,0.0514
60000870000,60210,Break O'Day (M),6,Tasmania,0.1292
60000880000,60210,Break O'Day (M),6,Tasmania,0.1765
60000890000,60210,Break O'Day (M),6,Tasmania,0.0615
60000900000,60210,Break O'Day (M),6,Tasmania,0.0469
60000910000,60210,Break O'Day (M),6,Tasmania,0.0404
60000920000,60210,Break O'Day (M),6,Tasmania,0.0440
60000930000,60210,Break O'Day (M),6,Tasmania,0.0598
60000940000,60210,Break O'Day (M),6,Tasmania,0.0494
60000950000,60210,Break O'Day (M),6,Tasmania,0.1099
60000961000,60210,Break O'Day (M),6,Tasmania,0.0379
60000962000,60210,Break O'Day (M),6,Tasmania,0.0217
60000971000,60210,Break O'Day (M),6,Tasmania,0.9758
60000972000,60210,Break O'Day (M),6,Tasmania,0.1942
60000980000,60210,Break O'Day (M),6,Tasmania,0.0163
60000990000,60210,Break O'Day (M),6,Tasmania,0.0902
60001000000,60210,Break O'Day (M),6,Tasmania,0.0695
60001010000,60210,Break O'Day (M),6,Tasmania,0.0502
60001020000,60210,Break O'Day (M),6,Tasmania,0.0612
60001030000,60210,Break O'Day (M),6,Tasmania,0.0746
60001040000,60210,Break O'Day (M),6,Tasmania,0.1638
60001050000,60210,Break O'Day (M),6,Tasmania,0.0857
60001060000,60210,Break O'Day (M),6,Tasmania,0.0490
60001070000,60210,Break O'Day (M),6,Tasmania,0.3503
60001080000,60210,Break O'Day (M),6,Tasmania,0.0745
60001090000,60210,Break O'Day (M),6,Tasmania,0.0813
60001101000,60210,Break O'Day (M),6,Tasmania,0.0426
60001102000,60210,Break O'Day (M),6,Tasmania,0.1147
60001110000,60210,Break O'Day (M),6,Tasmania,0.1109
60001120000,60210,Break O'Day (M),6,Tasmania,107.8949
60001130000,60210,Break O'Day (M),6,Tasmania,163.8906
60001140000,60210,Break O'Day (M),6,Tasmania,74.1612
60001151000,60210,Break O'Day (M),6,Tasmania,104.3155
60001152000,60210,Break O'Day (M),6,Tasmania,34.2252
60001160000,60210,Break O'Day (M),6,Tasmania,179.5131
60001170000,60210,Break O'Day (M),6,Tasmania,23.9840
60001180000,60210,Break O'Day (M),6,Tasmania,68.9797
60001191000,60210,Break O'Day (M),6,Tasmania,24.5386
60001192000,60210,Break O'Day (M),6,Tasmania,1.7634
60001201000,60210,Break O'Day (M),6,Tasmania,6.5735
60001202000,60210,Break O'Day (M),6,Tasmania,0.3627
60001203000,60210,Break O'Day (M),6,Tasmania,0.5829
60001210000,60210,Break O'Day (M),6,Tasmania,136.8561
60001220000,60210,Break O'Day (M),6,Tasmania,98.0437
60001230000,60210,Break O'Day (M),6,Tasmania,33.1923
60001240000,60210,Break O'Day (M),6,Tasmania,16.1028
60001250000,60210,Break O'Day (M),6,Tasmania,13.6091
60001260000,60210,Break O'Day (M),6,Tasmania,4.7807
60001270000,60210,Break O'Day (M),6,Tasmania,15.2096
60001280000,60210,Break O'Day (M),6,Tasmania,19.4578
60001290000,60210,Break O'Day (M),6,Tasmania,17.4759
60001300000,60210,Break O'Day (M),6,Tasmania,23.3130
60001310000,60210,Break O'Day (M),6,Tasmania,153.0762
60001320000,60210,Break O'Day (M),6,Tasmania,162.5997
60001331000,60210,Break O'Day (M),6,Tasmania,425.1014
60001332000,60210,Break O'Day (M),6,Tasmania,0.0330
60001340000,60210,Break O'Day (M),6,Tasmania,158.7447
60001350000,60210,Break O'Day (M),6,Tasmania,39.5722
60001371000,60210,Break O'Day (M),6,Tasmania,0.2055
60001372000,60210,Break O'Day (M),6,Tasmania,0.1933
60001381000,60210,Break O'Day (M),6,Tasmania,0.0892
60001382000,60210,Break O'Day (M),6,Tasmania,0.0752
60001390000,60210,Break O'Day (M),6,Tasmania,0.0780
60001400000,60210,Break O'Day (M),6,Tasmania,1.5156
60001410000,60210,Break O'Day (M),6,Tasmania,0.0600
60001420000,60210,Break O'Day (M),6,Tasmania,0.1460
60001430000,60210,Break O'Day (M),6,Tasmania,0.0951
60001441000,60210,Break O'Day (M),6,Tasmania,500.4962
60001442000,60210,Break O'Day (M),6,Tasmania,90.6154
60001450000,60210,Break O'Day (M),6,Tasmania,184.4129
60001460000,60210,Break O'Day (M),6,Tasmania,14.7812
60001470000,60210,Break O'Day (M),6,Tasmania,21.4520
60001481000,60210,Break O'Day (M),6,Tasmania,142.5965
60001482000,60210,Break O'Day (M),6,Tasmania,0.8533
60001490000,60210,Break O'Day (M),6,Tasmania,4.8037
60001501000,60210,Break O'Day (M),6,Tasmania,3.7981
60001502000,60210,Break O'Day (M),6,Tasmania,0.1012
60001511000,60210,Break O'Day (M),6,Tasmania,4.1755
60001512000,60210,Break O'Day (M),6,Tasmania,0.2516
60001520000,60210,Break O'Day (M),6,Tasmania,2.8958
60001530000,60210,Break O'Day (M),6,Tasmania,18.2439
60001540000,60210,Break O'Day (M),6,Tasmania,1.1298
60001550000,60210,Break O'Day (M),6,Tasmania,58.2888
60001561000,60210,Break O'Day (M),6,Tasmania,42.0035
60001562000,60210,Break O'Day (M),6,Tasmania,0.0419
60001563000,60210,Break O'Day (M),6,Tasmania,0.0713
60001570000,60210,Break O'Day (M),6,Tasmania,1.3509
60000530000,60210,Break O'Day (M),6,Tasmania,0.0557
60001582000,60210,Break O'Day (M),6,Tasmania,0.0317
60001583000,60210,Break O'Day (M),6,Tasmania,0.0957
60001590000,60210,Break O'Day (M),6,Tasmania,0.0627
60001601000,60210,Break O'Day (M),6,Tasmania,6.6576
60001602000,60210,Break O'Day (M),6,Tasmania,0.6298
60001610000,60210,Break O'Day (M),6,Tasmania,0.0114
60001620000,60210,Break O'Day (M),6,Tasmania,0.0058
60001630000,60210,Break O'Day (M),6,Tasmania,0.0173
60001640000,60210,Break O'Day (M),6,Tasmania,0.0140
60001650000,60210,Break O'Day (M),6,Tasmania,0.0173
60001660000,60210,Break O'Day (M),6,Tasmania,0.0133
60001670000,60210,Break O'Day (M),6,Tasmania,0.0111
60001680000,60210,Break O'Day (M),6,Tasmania,0.0126
60001690000,60210,Break O'Day (M),6,Tasmania,0.0123
60001700000,60210,Break O'Day (M),6,Tasmania,0.0215
60001710000,60210,Break O'Day (M),6,Tasmania,0.0133
60001720000,60210,Break O'Day (M),6,Tasmania,0.0088
60000550000,60210,Break O'Day (M),6,Tasmania,0.2506
60000050000,60210,Break O'Day (M),6,Tasmania,0.0031
60110900000,60210,Break O'Day (M),6,Tasmania,0.0334
60118270000,60210,Break O'Day (M),6,Tasmania,0.0211
60118280000,60210,Break O'Day (M),6,Tasmania,0.0362
60118290000,60210,Break O'Day (M),6,Tasmania,0.0488
60118300000,60210,Break O'Day (M),6,Tasmania,0.0123
60118310000,60210,Break O'Day (M),6,Tasmania,0.0026
60118320000,60210,Break O'Day (M),6,Tasmania,0.0050
60118330000,60210,Break O'Day (M),6,Tasmania,0.0078
60118340000,60210,Break O'Day (M),6,Tasmania,0.0164
60118350000,60210,Break O'Day (M),6,Tasmania,0.0086
60118360000,60210,Break O'Day (M),6,Tasmania,0.0084
60118370000,60210,Break O'Day (M),6,Tasmania,0.0528
60118380000,60210,Break O'Day (M),6,Tasmania,0.0305
60118390000,60210,Break O'Day (M),6,Tasmania,6.6431
60118400000,60210,Break O'Day (M),6,Tasmania,0.0072
60118410000,60210,Break O'Day (M),6,Tasmania,0.1180
60118420000,60210,Break O'Day (M),6,Tasmania,0.9460
60118430000,60210,Break O'Day (M),6,Tasmania,0.9004
60118440000,60210,Break O'Day (M),6,Tasmania,3.7423
60118450000,60210,Break O'Day (M),6,Tasmania,0.6485
60118460000,60210,Break O'Day (M),6,Tasmania,0.1072
60118480000,60210,Break O'Day (M),6,Tasmania,8.4604
60000520000,60210,Break O'Day (M),6,Tasmania,0.0670
60000510000,60210,Break O'Day (M),6,Tasmania,0.0537
60000500000,60210,Break O'Day (M),6,Tasmania,0.0631
60000490000,60210,Break O'Day (M),6,Tasmania,0.0438
60000480000,60210,Break O'Day (M),6,Tasmania,0.0750
60000470000,60210,Break O'Day (M),6,Tasmania,0.0425
60000460000,60210,Break O'Day (M),6,Tasmania,0.0761
60000450000,60210,Break O'Day (M),6,Tasmania,0.1830
60000440000,60210,Break O'Day (M),6,Tasmania,0.1237
60000430000,60210,Break O'Day (M),6,Tasmania,0.2174
60000420000,60210,Break O'Day (M),6,Tasmania,0.2116
60000410000,60210,Break O'Day (M),6,Tasmania,0.2304
60000400000,60210,Break O'Day (M),6,Tasmania,2.5856
60000390000,60210,Break O'Day (M),6,Tasmania,0.2053
60000380000,60210,Break O'Day (M),6,Tasmania,7.4834
60000375000,60210,Break O'Day (M),6,Tasmania,0.1635
60000374000,60210,Break O'Day (M),6,Tasmania,0.1813
60000540000,60210,Break O'Day (M),6,Tasmania,0.3679
60000373000,60210,Break O'Day (M),6,Tasmania,0.1488
60000372000,60210,Break O'Day (M),6,Tasmania,0.1955
60000371000,60210,Break O'Day (M),6,Tasmania,49.1485
60000360000,60210,Break O'Day (M),6,Tasmania,24.8410
60000350000,60210,Break O'Day (M),6,Tasmania,74.2909
60000340000,60210,Break O'Day (M),6,Tasmania,4.8188
60000330000,60210,Break O'Day (M),6,Tasmania,0.1597
60000320000,60210,Break O'Day (M),6,Tasmania,16.7871
60000310000,60210,Break O'Day (M),6,Tasmania,1.5482
60000300000,60210,Break O'Day (M),6,Tasmania,0.9282
60000290000,60210,Break O'Day (M),6,Tasmania,0.9667
60000280000,60210,Break O'Day (M),6,Tasmania,0.0143
60000270000,60210,Break O'Day (M),6,Tasmania,58.0619
60000260000,60210,Break O'Day (M),6,Tasmania,0.0918
60000250000,60210,Break O'Day (M),6,Tasmania,7.5738
60000240000,60210,Break O'Day (M),6,Tasmania,0.0025
60000230000,60210,Break O'Day (M),6,Tasmania,0.0062
60000220000,60210,Break O'Day (M),6,Tasmania,0.0017
60000210000,60210,Break O'Day (M),6,Tasmania,0.0166
60000200000,60210,Break O'Day (M),6,Tasmania,0.1222
60000190000,60210,Break O'Day (M),6,Tasmania,0.0577
60000180000,60210,Break O'Day (M),6,Tasmania,0.1203
60000170000,60210,Break O'Day (M),6,Tasmania,0.0038
60000160000,60210,Break O'Day (M),6,Tasmania,0.0045
60000150000,60210,Break O'Day (M),6,Tasmania,0.0785
60000140000,60210,Break O'Day (M),6,Tasmania,6.6774
60000130000,60210,Break O'Day (M),6,Tasmania,13.2986
