MB_CODE_2011,LGA_CODE_2013,LGA_NAME_2013,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQKM
50000550000,50080,Albany (C),5,Western Australia,0.0903
50000560000,50080,Albany (C),5,Western Australia,0.0622
50000570000,50080,Albany (C),5,Western Australia,0.0659
50000580000,50080,Albany (C),5,Western Australia,0.0334
50000590000,50080,Albany (C),5,Western Australia,0.0515
50000600000,50080,Albany (C),5,Western Australia,0.4017
50000610000,50080,Albany (C),5,Western Australia,0.1042
50000620000,50080,Albany (C),5,Western Australia,0.0426
50000630000,50080,Albany (C),5,Western Australia,0.0591
50000640000,50080,Albany (C),5,Western Australia,0.0245
50000650000,50080,Albany (C),5,Western Australia,0.1279
50000660000,50080,Albany (C),5,Western Australia,0.0282
50000670000,50080,Albany (C),5,Western Australia,0.0734
50000680000,50080,Albany (C),5,Western Australia,0.1107
50000690000,50080,Albany (C),5,Western Australia,0.3741
50000700000,50080,Albany (C),5,Western Australia,0.0630
50000710000,50080,Albany (C),5,Western Australia,0.0460
50000720000,50080,Albany (C),5,Western Australia,0.0617
50000730000,50080,Albany (C),5,Western Australia,0.6960
50000740000,50080,Albany (C),5,Western Australia,0.0965
50000750000,50080,Albany (C),5,Western Australia,0.0077
50000760000,50080,Albany (C),5,Western Australia,0.0126
50000770000,50080,Albany (C),5,Western Australia,0.0408
50000780000,50080,Albany (C),5,Western Australia,0.0557
50000790000,50080,Albany (C),5,Western Australia,0.0494
50000800000,50080,Albany (C),5,Western Australia,0.0196
50000810000,50080,Albany (C),5,Western Australia,0.1041
50000820000,50080,Albany (C),5,Western Australia,0.0719
50000830000,50080,Albany (C),5,Western Australia,0.0361
50000840000,50080,Albany (C),5,Western Australia,0.0666
50000850000,50080,Albany (C),5,Western Australia,0.0586
50000860000,50080,Albany (C),5,Western Australia,0.0481
50000870000,50080,Albany (C),5,Western Australia,0.0566
50000880000,50080,Albany (C),5,Western Australia,0.0399
50000890000,50080,Albany (C),5,Western Australia,0.0555
50000900000,50080,Albany (C),5,Western Australia,0.6434
50000910000,50080,Albany (C),5,Western Australia,0.0617
50000920000,50080,Albany (C),5,Western Australia,0.0149
50000930000,50080,Albany (C),5,Western Australia,0.0581
50000940000,50080,Albany (C),5,Western Australia,0.0476
50000950000,50080,Albany (C),5,Western Australia,0.0378
50000960000,50080,Albany (C),5,Western Australia,0.0390
50000970000,50080,Albany (C),5,Western Australia,0.0629
50000980000,50080,Albany (C),5,Western Australia,0.0354
50000990000,50080,Albany (C),5,Western Australia,1.2372
50001000000,50080,Albany (C),5,Western Australia,0.1282
50001010000,50080,Albany (C),5,Western Australia,0.0397
50001020000,50080,Albany (C),5,Western Australia,0.0605
50001030000,50080,Albany (C),5,Western Australia,0.2388
50001040000,50080,Albany (C),5,Western Australia,0.9107
50001050000,50080,Albany (C),5,Western Australia,0.0445
50001060000,50080,Albany (C),5,Western Australia,0.0922
50001070000,50080,Albany (C),5,Western Australia,0.0505
50001080000,50080,Albany (C),5,Western Australia,0.1321
50001090000,50080,Albany (C),5,Western Australia,0.0840
50001100000,50080,Albany (C),5,Western Australia,0.0679
50001110000,50080,Albany (C),5,Western Australia,0.1659
50001120000,50080,Albany (C),5,Western Australia,0.0957
50001130000,50080,Albany (C),5,Western Australia,0.2430
50001140000,50080,Albany (C),5,Western Australia,0.0479
50001150000,50080,Albany (C),5,Western Australia,0.0635
50001160000,50080,Albany (C),5,Western Australia,0.0491
50001170000,50080,Albany (C),5,Western Australia,0.5546
50001181000,50080,Albany (C),5,Western Australia,0.1146
50001182000,50080,Albany (C),5,Western Australia,0.0361
50001190000,50080,Albany (C),5,Western Australia,1.1306
50001200000,50080,Albany (C),5,Western Australia,0.0373
50001210000,50080,Albany (C),5,Western Australia,0.0964
50001220000,50080,Albany (C),5,Western Australia,0.0447
50001231000,50080,Albany (C),5,Western Australia,0.0571
50001232000,50080,Albany (C),5,Western Australia,0.0477
50001233000,50080,Albany (C),5,Western Australia,0.0514
50001234000,50080,Albany (C),5,Western Australia,0.0567
50001235000,50080,Albany (C),5,Western Australia,0.0891
50001236000,50080,Albany (C),5,Western Australia,0.0318
50001237000,50080,Albany (C),5,Western Australia,0.0407
50001241000,50080,Albany (C),5,Western Australia,0.0289
50001242000,50080,Albany (C),5,Western Australia,0.0236
50001250000,50080,Albany (C),5,Western Australia,0.0231
50001260000,50080,Albany (C),5,Western Australia,0.0277
50001270000,50080,Albany (C),5,Western Australia,0.0844
50001280000,50080,Albany (C),5,Western Australia,0.0286
50001290000,50080,Albany (C),5,Western Australia,0.0143
50001300000,50080,Albany (C),5,Western Australia,0.0821
50001310000,50080,Albany (C),5,Western Australia,0.0175
50001320000,50080,Albany (C),5,Western Australia,0.0387
50001330000,50080,Albany (C),5,Western Australia,0.0408
50001341000,50080,Albany (C),5,Western Australia,0.0106
50001342000,50080,Albany (C),5,Western Australia,0.0195
50001343000,50080,Albany (C),5,Western Australia,0.0266
50001344000,50080,Albany (C),5,Western Australia,0.0457
50001345000,50080,Albany (C),5,Western Australia,0.0043
50001350000,50080,Albany (C),5,Western Australia,0.1309
50001361000,50080,Albany (C),5,Western Australia,0.0466
50001362000,50080,Albany (C),5,Western Australia,0.0950
50001363000,50080,Albany (C),5,Western Australia,0.0197
50001364000,50080,Albany (C),5,Western Australia,0.0335
50001370000,50080,Albany (C),5,Western Australia,0.0621
50001380000,50080,Albany (C),5,Western Australia,0.1953
50001390000,50080,Albany (C),5,Western Australia,0.1357
50001400000,50080,Albany (C),5,Western Australia,0.1927
50001411000,50080,Albany (C),5,Western Australia,0.8984
50001412000,50080,Albany (C),5,Western Australia,1.2758
50001421000,50080,Albany (C),5,Western Australia,0.0880
50001422000,50080,Albany (C),5,Western Australia,0.0461
50001431000,50080,Albany (C),5,Western Australia,0.0801
