RegionCode,Region
25,Metro : North of River
26,Metro : South of River
27,Metro : East/Hills
15,Albany
28,Augusta / Margaret River
30,Bridgetown / Greenbushes
1,Boulder
2,Broome
16,Bunbury
3,Busselton (Townsite)
29,Busselton (Shire)
19,Capel
4,Carnarvon
33,Cataby
5,Collie
34,Coolgardie
35,Cunderdin
31,Donnybrook / Balingup
36,Dalwallinu
6,Dampier
20,Dardanup
37,Denmark
38,Derby
39,Dongara
7,Esperance
40,Exmouth
41,Fitzroy Crossing
17,Geraldton
21,Greenough
22,Harvey
42,Jurien
8,Kalgoorlie
43,Kambalda
9,Karratha
44,Kellerberrin
45,Kojonup
10,Kununurra
18,Mandurah
32,Manjimup
46,Meekatharra
47,Moora
48,Mt Barker
23,Murray
11,Narrogin
49,Newman
50,Norseman
12,Northam
13,Port Hedland
51,Ravensthorpe
14,South Hedland
53,Tammin
24,Waroona
54,Williams
55,Wubin
56,York
57,Regans Ford
58,Meckering
